CPV Code,Omschrijving,GPP Module(s),Qualifier
03000000-1,"Landbouw- en veeteelt-, kwekerij-, visserij-, bosbouw- en aanverwante producten","Levensmiddelen, cateringdiensten en verkoopautomaten; Onderhoud van de openbare ruimte; Textielproducten en -diensten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.; Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.; Let op: alleen van toepassing indien ingekocht als grondstof voor textiel of katoenproducten.
03100000-2,Land- en tuinbouwproducten,"Levensmiddelen, cateringdiensten en verkoopautomaten; Onderhoud van de openbare ruimte",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.; Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03110000-5,Land- en tuinbouwgewassen en -producten,"Levensmiddelen, cateringdiensten en verkoopautomaten; Onderhoud van de openbare ruimte",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.; Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03111000-2,Zaden,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03111100-3,Sojabonen,"Levensmiddelen, cateringdiensten en verkoopautomaten; Textielproducten en -diensten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.; Let op: alleen van toepassing indien ingekocht als grondstof voor textielproducten (bijv. sojavezels).
03111200-4,Pinda's,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03111300-5,Zonnebloempitten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03111400-6,Katoenzaad,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor katoen- of textielproducten.
03111500-7,Sesamzaad,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03111600-8,Mosterdzaad,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03111700-9,Groentenzaad,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03111800-0,Vruchtenzaad,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03111900-1,Bloemenzaden,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03112000-9,Ruwe tabak,"Levensmiddelen, cateringdiensten en verkoopautomaten; Textielproducten en -diensten",Let op: alleen van toepassing indien ingekocht als landbouwproduct voor verwerking tot consumptiegoed.; Let op: alleen van toepassing indien ingekocht als grondstof voor textiel- of filterproducten.
03113000-6,Suikergewassen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als grondstof voor levensmiddelenproductie.
03113100-7,Suikerbieten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als grondstof voor levensmiddelenproductie.
03113200-8,Suikerriet,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als grondstof voor levensmiddelenproductie.
03114000-3,Stro en voedergewassen,Onderhoud van de openbare ruimte,"Let op: alleen van toepassing indien gebruikt voor aanplant, bedekking of onderhoud van openbaar groen."
03114100-4,Stro,Onderhoud van de openbare ruimte,"Let op: alleen van toepassing indien gebruikt voor aanplant, bedekking of onderhoud van openbaar groen."
03114200-5,Veevoeder,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien onderdeel van diervoeding binnen keten voor levensmiddelenproductie.
03115000-0,Ruw plantaardig materiaal,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielproducten.
03115100-1,Ruw plantaardig materiaal voor de vervaardiging van textiel,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor textielproducten.
03115110-4,Katoen,Textielproducten en -diensten,"Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels, garens, weefsels of interieurtextiel."
03115120-7,Jute,Textielproducten en -diensten,"Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels, garens, weefsels of interieurtextiel."
03115130-0,Vlas,Textielproducten en -diensten,"Let op: alleen van toepassing indien ingekocht als grondstof voor textielvezels, garens, weefsels of interieurtextiel."
03117200-6,Plantenzaden voor specifieke toepassingen,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03120000-8,Tuinbouw- en kwekerijproducten,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03121000-5,Tuinbouwproducten,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03121100-6,"Levende planten, bollen, wortels, stekken en enten",Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03121200-7,Snijbloemen,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03121210-0,Bloemstukken,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor aanplant of onderhoud van openbaar groen.
03130000-1,Specerijgewassen en gewassen voor de vervaardiging van dranken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel of drankgrondstof voor consumptie.
03131000-8,Gewassen bestemd voor de vervaardiging van dranken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als drankgrondstof voor consumptie.
03131100-9,Koffiebonen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als drankgrondstof voor consumptie.
03131200-0,Theestruiken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als drankgrondstof voor consumptie.
03131300-1,Maté,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als drankgrondstof voor consumptie.
03131400-2,Cacaobonen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als drank- of voedselgrondstof voor consumptie.
03132000-5,Niet-bewerkte specerijen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als specerij voor consumptie.
03140000-4,Dierlijke en aanverwante producten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03142000-8,Dierlijke producten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03142100-9,Natuurlijke honing,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03142200-0,Slakken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03142300-1,Eetbare producten van dierlijke oorsprong,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03142500-3,Eieren,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
03144000-2,Landbouwbenodigdheden,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien ingekocht voor gebruik bij aanplant of onderhoud van openbaar groen.
03200000-3,"Granen, aardappelen, groenten, vruchten en noten","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien ingekocht als levensmiddel voor consumptie.
