CPV CODE,Omschrijving,Mapped GPP
03000000-1,"Landbouw- en veeteelt-, kwekerij-, visserij-, bosbouw- en aanverwante producten",GPP: Food Catering services and vending machines
03100000-2,Land- en tuinbouwproducten,GPP: Food Catering services and vending machines
03110000-5,Land- en tuinbouwgewassen en -producten,GPP: Food Catering services and vending machines
03111000-2,Zaden,GPP: Food Catering services and vending machines
03111100-3,Sojabonen,GPP: Food Catering services and vending machines
03111200-4,Pinda's,GPP: Food Catering services and vending machines
03111300-5,Zonnebloempitten,GPP: Food Catering services and vending machines
03111400-6,Katoenzaad,GPP: Not applicable
03111500-7,Sesamzaad,GPP: Food Catering services and vending machines
03111600-8,Mosterdzaad,GPP: Food Catering services and vending machines
03111700-9,Groentenzaad,GPP: Public Space Maintenance
03111800-0,Vruchtenzaad,GPP: Public Space Maintenance
03111900-1,Bloemenzaden,GPP: Public Space Maintenance
03112000-9,Ruwe tabak,GPP: Not applicable
03113000-6,Suikergewassen,GPP: Food Catering services and vending machines
03113100-7,Suikerbieten,GPP: Food Catering services and vending machines
03113200-8,Suikerriet,GPP: Food Catering services and vending machines
03114000-3,Stro en voedergewassen,GPP: Not applicable
03114100-4,Stro,GPP: Not applicable
03114200-5,Veevoeder,GPP: Not applicable
03115000-0,Ruw plantaardig materiaal,GPP: Textiles
03115100-1,Ruw plantaardig materiaal voor de vervaardiging van textiel,GPP: Textiles
03115110-4,Katoen,GPP: Textiles
03115120-7,Jute,GPP: Textiles
03115130-0,Vlas,GPP: Textiles
03116000-7,"Natuurlijke rubber, latex en aanverwante producten",GPP: Furniture
03116100-8,Natuurlijke rubber,GPP: Furniture
03116200-9,Natuurlijke latex,GPP: Furniture
03116300-0,Latexproducten,GPP: Furniture
03117000-4,Planten voor specifieke toepassingen,GPP: Food Catering services and vending machines
03117100-5,"Planten voor bereiding van parfum en geneesmiddelen, insectenbestrijding en dergelijke",GPP: Not applicable
03117110-8,Planten gebruikt voor de bereiding van parfum,GPP: Not applicable
03117120-1,Planten gebruikt voor de bereiding van geneesmiddelen,GPP: Not applicable
03117130-4,Planten gebruikt voor insectenbestrijding,GPP: Not applicable
03117140-7,Planten gebruikt voor schimmelbestrijding of soortgelijke toepassingen,GPP: Not applicable
03117200-6,Plantenzaden voor specifieke toepassingen,GPP: Not applicable
03120000-8,Tuinbouw- en kwekerijproducten,GPP: Public Space Maintenance
03121000-5,Tuinbouwproducten,GPP: Public Space Maintenance
03121100-6,"Levende planten, bollen, wortels, stekken en enten",GPP: Public Space Maintenance
03121200-7,Snijbloemen,GPP: Not applicable
03121210-0,Bloemstukken,GPP: Not applicable
03130000-1,Specerijgewassen en gewassen voor de vervaardiging van dranken,GPP: Food Catering services and vending machines
03131000-8,Gewassen bestemd voor de vervaardiging van dranken,GPP: Food Catering services and vending machines
03131100-9,Koffiebonen,GPP: Food Catering services and vending machines
03131200-0,Theestruiken,GPP: Food Catering services and vending machines
03131300-1,Maté,GPP: Food Catering services and vending machines
03131400-2,Cacaobonen,GPP: Food Catering services and vending machines
03132000-5,Niet-bewerkte specerijen,GPP: Food Catering services and vending machines
03140000-4,Dierlijke en aanverwante producten,GPP: Food Catering services and vending machines
03141000-1,Stierensperma,GPP: Not applicable
03142000-8,Dierlijke producten,GPP: Food Catering services and vending machines
03142100-9,Natuurlijke honing,GPP: Food Catering services and vending machines
03142200-0,Slakken,GPP: Not applicable
03142300-1,Eetbare producten van dierlijke oorsprong,GPP: Food Catering services and vending machines
03142400-2,Was,GPP: Not applicable
03142500-3,Eieren,GPP: Food Catering services and vending machines
03143000-5,Producten van gemengde bedrijven,GPP: Not applicable
